Depot ID,Location,Address,City
Zepto Warehouse Guindy,Guindy Industrial Estate,C-12 Guindy Industrial Estate,Chennai
Zepto Warehouse Porur,Porur Junction,44 Mount Poonamallee Road Porur,Chennai
Zepto Warehouse Madipakkam,Madipakkam,10 Velachery Main Road Madipakkam,Chennai
Zepto Warehouse Chromepet,Chromepet Depot,55 GST Road Chromepet,Chennai
Zepto Warehouse Egmore,Egmore Facility,18 Gandhi Irwin Road Egmore,Chennai
Zepto Warehouse Velachery,Velachery Logistics,12 100 Feet Bypass Road Velachery,Chennai
Zepto Warehouse Sholinganallur,Sholinganallur Hub,245 OMR Rajiv Gandhi Salai,Chennai
Zepto Warehouse Thoraipakkam,Thoraipakkam Distribution,89 Rajiv Gandhi Salai OMR Thoraipakkam,Chennai
Zepto Warehouse Perungudi,Perungudi Yard,144 Industrial Estate Perungudi,Chennai
Zepto Warehouse Tambaram,Tambaram Junction,45 GST Road Tambaram,Chennai
Zepto Warehouse Royapettah,Royapettah Cargo,12 Lloyds Road Royapettah,Chennai
Zepto Warehouse Alwarpet,Alwarpet Storage,85 TTK Road Alwarpet,Chennai
Zepto Warehouse Kodambakkam,Kodambakkam Facility,30 Arcade Road Kodambakkam,Chennai
Zepto Warehouse Vadapalani,Vadapalani Hub,20 Arcot Road Vadapalani,Chennai
Zepto Warehouse Kilpauk,Kilpauk Yard,15 Ormes Road Kilpauk,Chennai
Zepto Warehouse Adyar,Adyar Center,20 Gandhi Nagar 1st Main Road Adyar,Chennai
Zepto Warehouse Anna Nagar,Anna Nagar Yard,Y-206 5th Avenue Anna Nagar,Chennai
Zepto Warehouse T Nagar,T Nagar Center,15 Venkatnarayana Road T Nagar,Chennai
Zepto Warehouse Mylapore,Mylapore Hub,88 Kutchery Road Mylapore,Chennai
Zepto Warehouse Nungambakkam,Nungambakkam Warehouse,40 College Road Nungambakkam,Chennai
